002ef4fb30aae1cf44654b142fcc011f68ad8fb4a597b348e1c8d5bc742cd886 Urte 632721
015a9f47f8a0b11902f07b9722520caa8a0727b2a2def5613fea7512fd7e029e Viktoras 358738
0193391d03ef58d6c81eac46927d526614b6ccf9697943ea86e6e23a8d4b1164 Regina 989227
01b0e7c7b9ae39bbb88ea5f1d6037c48f79319f56286df9432aeee0a5d40950d Jolanta 110101
01e7dc1da49ec965dbdc6a26df33c1cf566af77e8f55eee0a75fb474433fc5b5 Urte 901448
01fcc34bf154c389bf3e16ad7c0811b5939dfc5026576044cab6e41cf14d4af5 Lilija 896328
02008dcdd9e2ee01225107c54422ad3e73a5b4a4b16a5f92428662ab26ef0f11 Smilte 144694
028a90dc7748ed28bda4ee058d820568d0e346a8cb2d3758ba699495b2d7b0a7 Ernestas 376354
03554498fe31f4848d6cd0db5440a79aacf7a08a5b35d8b0dd7b4085a1cd0357 Viktoras 485338
03957718b5a70d3a3875356f3315dcad83e16f1b6c01f766685993805bc409c0 Viktoras 31699.3
03acdabf6232695f9d54a83e0885c857e1cd0a1980a72b7505c0d49d72fe29ac Augustinas 717527
042569bc9e81f560d6057e915e88407e91bfc1c502e9462e8201eee465b29192 Viktoras 854082
04b8e8d26ba45796dd8012c3279f82d6c126bf9002f5ef44e843c1658073f45a Viktoras 414770
04bdd9f4c52381073b90c09fb22cd87fa3ad7c5406ace72d56bf0ab1649e45af Zydrunas 120248
04e8430284990128f145ab1b6c7d6cccf06f1db65933555c038eaa3e15307c94 Darius 384927
056a02aa05fe49d87daff2f49ab507f1db4fe6a6b2fabc8ec607895b5c4c56dc Lilija 137802
057236dedaa69223b2c28598cb35fa500c7a13ae191cfe666f9934437c3fd458 Zydrunas 215610
059b4852d52c96739841afa637fa91dc97316f9e95bc943804d8b61522809ef9 Zydrunas 195085
05a8b6d1ee93834626a4409894b211cacd19d1eec80ac17123ddf3f94beb78fd Augustinas 14567.6
05c1471004d7d58a6bd337da5c95e583f4e7e20b7035f687731b406dbb593341 Viktoras 61402.3
067b4f894c19687a037a83b176efee805aa17d8e8432a9eb0ce4ae147495452b Augustinas 920944
06e677f4ce72472d56d2c17a09e16dfd6cfefeabb6b527c38f28aa6433f58c73 Austeja 435163
06fe7588b2832a7bcf0bb1f48de4e3c9519ae3e6548b4ab7e36006bb0fd472f1 Zydrunas 371664
070b38d706b204baf21d71a7fa6c1ce7213354a01b9039bdf715c5551fc50f98 Adomas 337624
072d2ee33ef6189cc4c3e11a6976287a032a0ae437cbab2b0107e7711ca8d662 Urte 602271
